state,market,avg_min_price,avg_max_price,avg_modal_price
Tamil Nadu,Coimbatore,5800.0,7200.0,6300.0
Tamil Nadu,Cuddalore,2992.4,3345.6,3269.2
Tamil Nadu,Dharampuri,4000.0,7500.0,6000.0
Tamil Nadu,Dharapuram,2505.0,3275.0,3000.0
Tamil Nadu,Elumathur,2535.0,3410.0,2870.0
Tamil Nadu,Gangavalli,5600.0,5700.0,5650.0
Tamil Nadu,Gingee,4073.4,4348.1,4206.0
Tamil Nadu,Gopalpatti,1300.0,1900.0,1600.0
Tamil Nadu,Gummidipoondy,1450.0,1750.0,1550.0
Tamil Nadu,Kalavai,1429.5,1453.0,1441.5
Tamil Nadu,Kallakurichi,3982.5,4594.75,4396.125
Tamil Nadu,Kalliakavillai,9500.0,11500.0,10500.0
Tamil Nadu,Kanchipuram,1220.0,1410.0,1350.0
Tamil Nadu,Karamadai,2000.0,3000.0,2500.0
Tamil Nadu,Karumanturai,1980.0,2440.0,2210.0
Tamil Nadu,Kodumudi,8447.25,9918.25,9830.0
Tamil Nadu,Kolathur,4600.0,5000.0,4800.0
Tamil Nadu,Konganapuram,5000.0,5400.0,5200.0
Tamil Nadu,Kumbakonam,1750.0,1800.0,1780.0
Tamil Nadu,Kunnathur,2500.0,2600.0,2530.0
Tamil Nadu,Kurinchipadi,5733.5,6023.0,5871.0
Tamil Nadu,Madathukulam,4220.0,4280.0,4250.0
Tamil Nadu,Maduranthagam,1360.0,1480.0,1420.0
Tamil Nadu,Manalurpet,3805.1666666666665,4243.166666666667,4024.3333333333335
Tamil Nadu,Melur,2787.5,3467.5,3127.5
Tamil Nadu,Muthur,2505.0,3275.0,3225.0
Tamil Nadu,Namagiripettai,5775.0,6775.0,6270.0
Tamil Nadu,Namakkal,8100.0,8700.0,8400.0
Tamil Nadu,Negamam,3100.0,3200.0,3150.0
Tamil Nadu,Omalur,1160.0,1400.0,1280.0
Tamil Nadu,Orathanadu,1750.0,1800.0,1780.0
Tamil Nadu,Palakode,1000.0,1500.0,1200.0
Tamil Nadu,Palani,1500.0,1800.0,1650.0
Tamil Nadu,Palladam,2040.0,2240.0,2140.0
Tamil Nadu,Pallipattu,1427.0,1692.0,1560.0
Tamil Nadu,Papanasam,1750.0,1800.0,1780.0
Tamil Nadu,Papparapatti,4600.0,6250.0,5750.0
Tamil Nadu,Pappireddipatti,1000.0,1500.0,1200.0
Tamil Nadu,Pennagaram,4900.0,5200.0,5000.0
Tamil Nadu,Pethappampatti,5400.0,5975.0,5675.0
Tamil Nadu,Pochampalli,1500.0,2100.0,1950.0
Tamil Nadu,Pollachi,2600.0,2900.0,2720.0
Tamil Nadu,Pongalur,2100.0,2700.0,2400.0
Tamil Nadu,Ponner,1450.0,1750.0,1550.0
Tamil Nadu,Pudupalayam,2170.0,2370.0,2270.0
Tamil Nadu,Rajapalayam,1650.0,1750.0,1700.0
Tamil Nadu,Rasipuram,8500.0,10400.0,9450.0
Tamil Nadu,Salem,6940.0,7395.0,7120.0
Tamil Nadu,Sangarapuram,3434.285714285714,3903.285714285714,3700.1428571428573
Tamil Nadu,Sathur,1750.0,1800.0,1775.0
Tamil Nadu,Senjeri,2700.0,2900.0,2800.0
Tamil Nadu,Sevur,5000.0,5340.0,5100.0
Tamil Nadu,Singampuneri,800.0,1200.0,950.0
Tamil Nadu,Sivagangai,1780.0,1830.0,1810.0
Tamil Nadu,Sunguvarchatram,1427.0,1692.0,1560.0
Tamil Nadu,Thalaivasal,1790.0,1880.0,1840.0
Tamil Nadu,Thammampati,5600.0,5650.0,5625.0
Tamil Nadu,Thanjavur,2200.0,2300.0,2250.0
Tamil Nadu,Thirumangalam,2890.0,2996.0,2940.0
Tamil Nadu,Thiruppananthal,1800.0,1900.0,1850.0
Tamil Nadu,Thondamuthur,2700.0,2900.0,2800.0
Tamil Nadu,Tindivanam,5608.8,5990.0,5774.0
Tamil Nadu,Tiruchengode,7062.0,7948.5,7475.0
Tamil Nadu,Tiruvennainallur,1338.0,1422.5,1385.5
Tamil Nadu,Udumalpet,4466.666666666667,4983.333333333333,4650.0
Tamil Nadu,Uthangarai,3350.0,4150.0,3825.0
Tamil Nadu,Uthiramerur,1400.0,1407.0,1404.0
Tamil Nadu,Vallam,1900.0,2000.0,1950.0
Tamil Nadu,Vazhapadi,2080.0,2540.0,2310.0
Tamil Nadu,Vellakkoil,5305.0,10915.0,8845.0
Tamil Nadu,Vellore,4141.9,4783.4,4680.9
Tamil Nadu,Velur,2200.0,2500.0,2350.0
Tamil Nadu,Vikkiravandi,3528.909090909091,3854.909090909091,3704.2727272727275
Tamil Nadu,Villupuram,3415.6,3600.3,3497.8
Telangana,Chevella,590.0,590.0,590.0
Telangana,Koratla,4675.0,5127.5,5127.5
Telangana,Madhira,440.0,440.0,440.0
Telangana,Mahboob Manison,4250.0,6750.0,5500.0
Telangana,Nalgonda,1750.0,1750.0,1750.0
Telangana,Pitlam,1750.0,1750.0,1750.0
Telangana,Ramannapet,1770.0,1770.0,1770.0
Telangana,Vemulawada,5000.0,5350.0,5200.0
Telangana,Voligonda,1770.0,1770.0,1770.0
Tripura,Barpathari,1250.0,1350.0,1300.0
Tripura,Bishalgarh,3185.714285714286,4000.0,3600.0
Tripura,Bishramganj,2971.4285714285716,3757.1428571428573,3342.8571428571427
Tripura,Dasda,5250.0,5850.0,5550.0
Uttar Pradesh,Achnera,1525.2380952380952,1610.0,1567.6190476190477
Uttar Pradesh,Ait,1980.0,1980.0,1980.0
Uttar Pradesh,Aliganj,1212.5,1403.125,1308.125
Uttar Pradesh,Atrauli,835.0,855.0,845.0
Uttar Pradesh,Bagpat,975.0,1162.5,1068.75
Uttar Pradesh,Baraut,1683.5,1832.0,1759.0
Uttar Pradesh,Baruwasagar,2647.5,2855.0,2745.0
Uttar Pradesh,Bindki,400.0,550.0,490.0
Uttar Pradesh,Charkhari,3225.0,3312.5,3268.75
Uttar Pradesh,Chhibramau(Kannuj),2779.0,2910.8,2852.5
Uttar Pradesh,Chirgaon,2800.0,2916.6666666666665,2858.3333333333335
Uttar Pradesh,Chitwadagaon,2000.0,2140.0,2070.0
Uttar Pradesh,Chutmalpur,1394.5454545454545,1570.0,1479.090909090909
Uttar Pradesh,Devband,736.3636363636364,871.8181818181819,808.1818181818181
Uttar Pradesh,Divai,1125.7142857142858,1144.7142857142858,1135.357142857143
Uttar Pradesh,Doharighat,3083.3333333333335,3533.3333333333335,3311.6666666666665
Uttar Pradesh,Dudhi,533.3333333333334,633.3333333333334,633.3333333333334
Uttar Pradesh,Fatehabad,1612.0,1708.0,1652.4
Uttar Pradesh,Gangoh,1529.5,1562.75,1549.25
Uttar Pradesh,Gopiganj,1840.0,1860.0,1860.0
Uttar Pradesh,Gulavati,615.2222222222222,619.2222222222222,617.2222222222222
Uttar Pradesh,Hapur,2770.4545454545455,2968.181818181818,2856.818181818182
Uttar Pradesh,Jagnair,1847.3684210526317,1936.842105263158,1892.1052631578948
Uttar Pradesh,Jalalabad,628.3333333333334,671.6666666666666,650.0
Uttar Pradesh,Jarar,1252.1052631578948,1335.7894736842106,1295.7894736842106
Uttar Pradesh,Jasvantnagar,709.0909090909091,822.7272727272727,768.1818181818181
Uttar Pradesh,Javer,0.0,691.6666666666666,600.0
Uttar Pradesh,Kadaura,1750.0,1800.0,1775.0
Uttar Pradesh,Kamlaganj,1283.3333333333333,1350.0,1316.6666666666667
Uttar Pradesh,Khairagarh,1780.8695652173913,1869.1304347826087,1825.0
Uttar Pradesh,Kishunpur,1933.3333333333333,2200.0,2066.6666666666665
Uttar Pradesh,Lalganj,1100.0,1150.0,1125.0
Uttar Pradesh,Mau(Chitrakut),3080.0,3130.0,3105.0
Uttar Pradesh,Mihipurwa,1250.0,1375.0,1316.6666666666667
Uttar Pradesh,Milak,1893.3333333333333,1940.0,1916.6666666666667
Uttar Pradesh,Mirzapur,3630.75,3701.25,3665.75
Uttar Pradesh,Mohammdi,720.0,730.0,730.0
Uttar Pradesh,Muzzafarnagar,2163.181818181818,2272.7272727272725,2243.181818181818
Uttar Pradesh,Nakud,618.75,737.5,680.0
Uttar Pradesh,Nanuta,1375.0,1557.5,1475.0
Uttar Pradesh,Paliakala,2459.0384615384614,2524.8076923076924,2492.3076923076924
Uttar Pradesh,Risia,1500.0,1550.0,1510.0
Uttar Pradesh,Robertsganj,2132.6666666666665,2193.3333333333335,2164.3333333333335
